,id,organisation_id,course_id,lesson_id,modified_at,created_at,last_attempted_on,attempts,complete,UserID
0,40fe2e1c-7f89-4c97-b113-27be77399fe0,ba27d072-0a43-410d-af6a-3ecf19c76241,8f318e49-bace-48fd-bfce-79aa48255221,7f37a208-77d0-46b7-9a39-ad5180a94593,2020-02-11T10:57:37.328039+00:00,2020-02-11T10:57:37.328034+00:00,2020-02-11T10:57:37.324892+00:00,1,True,16e8d67f-7fd2-4b92-b047-aa7c621356b4
1,cdc796a3-b061-48b4-ad16-e8709be1767f,ba27d072-0a43-410d-af6a-3ecf19c76241,58dda2f0-d9bd-4000-b3ae-1873496bd95e,3f36d458-aa14-4178-9470-4e1df2660070,2020-02-11T10:57:32.193142+00:00,2020-02-11T10:57:32.193137+00:00,2020-02-11T11:08:06.229790+00:00,4,True,16e8d67f-7fd2-4b92-b047-aa7c621356b4
2,cd9d9bec-e7ea-45df-9fff-40c5db65b8c1,ba27d072-0a43-410d-af6a-3ecf19c76241,58dda2f0-d9bd-4000-b3ae-1873496bd95e,3f36d458-aa14-4178-9470-4e1df2660070,2020-02-11T11:13:30.503093+00:00,2020-02-11T11:13:30.503088+00:00,2020-02-11T11:14:48.056557+00:00,2,True,323ae64b-7cd3-439a-a5cb-64a9959eb31d
